,#,Player,Age,Market value at time,Season,Nat.,Fee,Position,Left Club,Left League,Joined Club,Joined League,Loan,Fee (€)
2462,213,Noah Okafor,19,€8.00m,19/20,"Switzerland, Nigeria",€11.20m,Left Winger,Basel,Super League,Salzburg,Bundesliga,False,11.2
2463,214,Lys Mousset,23,€3.50m,19/20,"France, Senegal",€11.10m,Centre-Forward,Bournemouth,Premier League,Sheff Utd,Premier League,False,11.1
2464,215,Pedro,22,€18.00m,19/20,Brazil,€11.00m,Centre-Forward,Fluminense,Série A,Fiorentina,Serie A,False,11.0
2465,216,Óliver Torres,24,€17.00m,19/20,Spain,€11.00m,Central Midfield,Porto,Liga NOS,Sevilla FC,LaLiga,False,11.0
2466,217,Breel Embolo,22,€14.00m,19/20,"Switzerland, Cameroon",€11.00m,Centre-Forward,FC Schalke 04,Bundesliga,Mönchengladbach,Bundesliga,False,11.0
2467,218,Luciano Vietto,25,€7.00m,19/20,"Argentina, Italy",€11.00m,Centre-Forward,Atlético,LaLiga,Sporting,Liga NOS,False,11.0
2468,219,Jack Clarke,18,€6.00m,19/20,England,€11.00m,Left Winger,Leeds,Championship,Tottenham,Premier League,False,11.0
2469,220,Pedro Neto,19,€2.50m,19/20,Portugal,€11.00m,Right Winger,Braga,Liga NOS,Lazio,Serie A,False,11.0
2470,221,Nicolás Domínguez,21,€12.50m,19/20,"Argentina, Italy",€10.98m,Central Midfield,Vélez Sarsfield,Superliga,Bologna,Serie A,False,10.98
2471,222,Rodolfo Pizarro,26,€10.00m,19/20,Mexico,€10.91m,Attacking Midfield,Monterrey,Liga MX Apertura,Miami,MLS,False,10.91
2472,223,Zé Luís,28,€8.00m,19/20,"Cape Verde, Portugal",€10.75m,Centre-Forward,Spartak Moscow,Premier Liga,Porto,Liga NOS,False,10.75
2473,224,Léo Duarte,23,€4.00m,19/20,Brazil,€10.60m,Centre-Back,Flamengo,Série A,AC Milan,Serie A,False,10.6
2474,225,Nadiem Amiri,22,€17.00m,19/20,Germany,€10.50m,Central Midfield,Hoffenheim,Bundesliga,Leverkusen,Bundesliga,False,10.5
2475,226,Ally Samatta,27,€12.00m,19/20,Tanzania,€10.50m,Centre-Forward,Genk,JPL,Aston Villa,Premier League,False,10.5
2476,227,Matías Vargas,22,€11.00m,19/20,Argentina,€10.50m,Left Winger,Vélez Sarsfield,Superliga,Espanyol,LaLiga,False,10.5
2477,228,Maximilian Wöber,21,€10.00m,19/20,Austria,€10.50m,Centre-Back,Ajax,Eredivisie,Sevilla FC,LaLiga,False,10.5
2478,229,Maximilian Wöber,21,€10.00m,19/20,Austria,€10.50m,Centre-Back,Sevilla FC,LaLiga,Salzburg,Bundesliga,False,10.5
2479,230,Denis Vavro,23,€6.00m,19/20,Slovakia,€10.50m,Centre-Back,Copenhagen,Superliga,Lazio,Serie A,False,10.5
2480,231,Brian Rodríguez,19,€1.00m,19/20,Uruguay,€10.45m,Left Winger,Peñarol,Liga AUF Clausura,LAFC,MLS,False,10.45
2481,232,Diego Demme,28,€17.00m,19/20,"Germany, Italy",€10.25m,Defensive Midfield,Leipzig,Bundesliga,Napoli,Serie A,False,10.25
2482,233,Robert Skov,23,€13.00m,19/20,Denmark,€10.00m,Left Midfield,Copenhagen,Superliga,Hoffenheim,Bundesliga,False,10.0
2483,234,Benito Raman,24,€12.00m,19/20,Belgium,€10.00m,Centre-Forward,F. Düsseldorf,Bundesliga,FC Schalke 04,Bundesliga,False,10.0
2484,235,Rémi Oudin,23,€11.00m,19/20,France,€10.00m,Attacking Midfield,Stade Reims,Ligue 1,G. Bordeaux,Ligue 1,False,10.0
2485,236,Jay Rodríguez,29,€10.00m,19/20,"England, Spain",€10.00m,Centre-Forward,West Brom,Championship,Burnley,Premier League,False,10.0
2486,237,Portu,27,€10.00m,19/20,Spain,€10.00m,Right Winger,Girona,2ª División,Real Sociedad,LaLiga,False,10.0
2487,238,Santiago Ascacíbar,22,€10.00m,19/20,"Argentina, Italy",€10.00m,Defensive Midfield,Stuttgart,2. Bundesliga,Hertha BSC,Bundesliga,False,10.0
2488,239,Strahinja Pavlović,18,€8.00m,19/20,Serbia,€10.00m,Centre-Back,Partizan,Super liga,Monaco,Ligue 1,False,10.0
2489,240,Mahmoud Trezeguet,24,€6.00m,19/20,Egypt,€10.00m,Left Winger,Kasimpasa,Süper Lig,Aston Villa,Premier League,False,10.0
2490,241,Timothy Weah,19,€6.00m,19/20,"United States, France",€10.00m,Right Winger,PSG,Ligue 1,Lille,Ligue 1,False,10.0
2491,242,Josh Brownhill,24,€4.50m,19/20,England,€10.00m,Central Midfield,Bristol City,Championship,Burnley,Premier League,False,10.0
2492,243,Adrián Embarba,27,€4.00m,19/20,Spain,€10.00m,Right Winger,Rayo Vallecano,2ª División,Espanyol,LaLiga,False,10.0
2493,244,Eddie Salcedo,17,€2.00m,19/20,"Italy, Colombia",€10.00m,Centre-Forward,Genoa,Serie A,Inter,Serie A,False,10.0
2494,245,Jean Marcelin,19,€1.50m,19/20,"Madagascar, France",€10.00m,Centre-Back,AJ Auxerre,Ligue 2,Monaco,Ligue 1,False,10.0
2495,246,Arthur Zagré,17,-,19/20,"France, Burkina Faso",€10.00m,Left-Back,PSG,Ligue 1,Monaco,Ligue 1,False,10.0
2496,247,Hannibal,16,-,19/20,"Tunisia, France",€10.00m,Attacking Midfield,AS Monaco U17,Monaco,Man Utd U18,U18 Premier League,False,10.0
2497,248,Uriel Antuna,22,€3.20m,19/20,Mexico,€9.90m,Right Winger,Man City U23,Premier League 2,Chivas,Liga MX Apertura,False,9.9
2498,249,Ola Aina,22,€10.00m,19/20,"Nigeria, England",€9.80m,Right-Back,Chelsea,Premier League,Torino,Serie A,False,9.8
2499,250,Giovanni Di Lorenzo,25,€9.00m,19/20,Italy,€9.80m,Right-Back,FC Empoli,Serie B,Napoli,Serie A,False,9.8
2500,1,Kai Havertz,21,€81.00m,20/21,Germany,€100.00m,Centre-Forward,Leverkusen,Bundesliga,Chelsea,Premier League,False,100.0
2501,2,Arthur Melo,24,€56.00m,20/21,Brazil,€80.60m,Defensive Midfield,Barcelona,LaLiga,Juventus,Serie A,False,80.6
2502,3,Victor Osimhen,21,€40.00m,20/21,Nigeria,€78.90m,Centre-Forward,Lille,Ligue 1,Napoli,Serie A,False,78.9
2503,4,Rúben Dias,23,€35.00m,20/21,Portugal,€71.60m,Centre-Back,Benfica,Liga NOS,Man City,Premier League,False,71.6
2504,5,Miralem Pjanić,30,€45.00m,20/21,"Bosnia-Herzegovina, Luxembourg",€60.00m,Central Midfield,Juventus,Serie A,Barcelona,LaLiga,False,60.0
2505,6,Timo Werner,24,€64.00m,20/21,Germany,€53.00m,Left Winger,Leipzig,Bundesliga,Chelsea,Premier League,False,53.0
2506,7,Ben Chilwell,23,€40.00m,20/21,"England, New Zealand",€50.20m,Left-Back,Leicester,Premier League,Chelsea,Premier League,False,50.2
2507,8,Mauro Icardi,27,€60.00m,20/21,"Argentina, Italy",€50.00m,Centre-Forward,Inter,Serie A,PSG,Ligue 1,False,50.0
2508,9,Thomas Partey,27,€40.00m,20/21,Ghana,€50.00m,Defensive Midfield,Atlético,LaLiga,Arsenal,Premier League,False,50.0
2509,10,Leroy Sané,24,€80.00m,20/21,"Germany, France",€49.00m,Right Winger,Man City,Premier League,Bayern Munich,Bundesliga,False,49.0
2510,11,Nathan Aké,25,€28.00m,20/21,"Netherlands, Cote d'Ivoire",€45.30m,Centre-Back,Bournemouth,Championship,Man City,Premier League,False,45.3
2511,12,Diogo Jota,23,€28.00m,20/21,Portugal,€44.70m,Left Winger,Wolves,Premier League,Liverpool,Premier League,False,44.7
2512,13,Achraf Hakimi,21,€54.00m,20/21,"Morocco, Spain",€43.00m,Right-Back,Real Madrid,LaLiga,Inter,Serie A,False,43.0
2513,14,Hakim Ziyech,27,€40.00m,20/21,"Morocco, Netherlands",€40.00m,Right Winger,Ajax,Eredivisie,Chelsea,Premier League,False,40.0
2514,15,Fábio Silva,18,€12.00m,20/21,Portugal,€40.00m,Centre-Forward,Porto,Liga NOS,Wolves,Premier League,False,40.0
2515,16,Donny van de Beek,23,€44.00m,20/21,Netherlands,€39.00m,Central Midfield,Ajax,Eredivisie,Man Utd,Premier League,False,39.0
2516,17,Dominik Szoboszlai,20,€25.00m,20/21,Hungary,€36.00m,Attacking Midfield,Salzburg,Bundesliga,Leipzig,Bundesliga,False,36.0
2517,18,Álvaro Morata,27,€36.00m,20/21,Spain,€35.00m,Centre-Forward,Chelsea,Premier League,Atlético,LaLiga,False,35.0
2518,19,Wesley Fofana,19,€10.00m,20/21,"France, Cote d'Ivoire",€35.00m,Centre-Back,Saint-Étienne,Ligue 1,Leicester,Premier League,False,35.0
2519,20,Ollie Watkins,24,€12.00m,20/21,England,€34.00m,Centre-Forward,Brentford,Championship,Aston Villa,Premier League,False,34.0
2520,21,Darwin Núñez,21,€10.00m,20/21,Uruguay,€34.00m,Centre-Forward,UD Almería,2ª División,Benfica,Liga NOS,False,34.0
2521,22,Ferran Torres,20,€45.00m,20/21,Spain,€33.50m,Centre-Forward,Valencia,LaLiga,Man City,Premier League,False,33.5
2522,23,Nicolò Barella,23,€50.00m,20/21,Italy,€32.50m,Central Midfield,Cagliari,Serie A,Inter,Serie A,False,32.5
2523,24,Nélson Semedo,26,€40.00m,20/21,"Portugal, Cape Verde",€32.00m,Right-Back,Barcelona,LaLiga,Wolves,Premier League,False,32.0
2524,25,Giovani Lo Celso,24,€40.00m,20/21,"Argentina, Italy",€32.00m,Attacking Midfield,Real Betis,LaLiga,Tottenham,Premier League,False,32.0
2525,26,Francisco Trincão,20,€16.00m,20/21,Portugal,€30.94m,Right Winger,Braga,Liga NOS,Barcelona,LaLiga,False,30.94
2526,27,Jude Bellingham,17,€11.00m,20/21,"England, Ireland",€30.15m,Attacking Midfield,Birmingham,Championship,Dortmund,Bundesliga,False,30.15
2527,28,Rodrigo,29,€40.00m,20/21,"Spain, Brazil",€30.00m,Centre-Forward,Valencia,LaLiga,Leeds,Premier League,False,30.0
2528,29,Sergio Reguilón,23,€25.00m,20/21,Spain,€30.00m,Left-Back,Real Madrid,LaLiga,Tottenham,Premier League,False,30.0
2529,30,Moisés Caicedo,19,€5.00m,20/21,Ecuador,€28.20m,Defensive Midfield,Independiente,Serie A Primera Etapa,Brighton,Premier League,False,28.2
2530,31,Ben Godfrey,22,€16.00m,20/21,"England, Jamaica",€27.50m,Centre-Back,Norwich,Championship,Everton,Premier League,False,27.5
2531,32,Jonathan David,20,€25.00m,20/21,"Canada, United States",€27.00m,Centre-Forward,KAA Gent,JPL,Lille,Ligue 1,False,27.0
2532,33,Yannick Carrasco,27,€22.50m,20/21,"Belgium, Spain",€27.00m,Left Winger,DL Pro,Super League,Atlético,LaLiga,False,27.0
2533,34,Patrik Schick,24,€25.00m,20/21,Czech Republic,€26.50m,Centre-Forward,Roma,Serie A,Leverkusen,Bundesliga,False,26.5
2534,35,Gabriel Magalhães,22,€20.00m,20/21,Brazil,€26.00m,Centre-Back,Lille,Ligue 1,Arsenal,Premier League,False,26.0
2535,36,Jérémy Doku,18,€9.00m,20/21,"Belgium, Ghana",€26.00m,Left Winger,RSC Anderlecht,JPL,Stade Rennais,Ligue 1,False,26.0
2536,37,Rhian Brewster,20,€5.40m,20/21,"England, Barbados",€26.00m,Centre-Forward,Liverpool U23,Premier League 2,Sheff Utd,Premier League,False,26.0
2537,38,Nicolò Rovella,19,€4.00m,20/21,Italy,€26.00m,Defensive Midfield,Genoa,Serie A,Juventus,Serie A,False,26.0
2538,39,Emre Can,26,€24.00m,20/21,"Germany, Türkiye",€25.00m,Centre-Back,Juventus,Serie A,Dortmund,Bundesliga,False,25.0
2539,40,Stefano Sensi,25,€20.00m,20/21,Italy,€25.00m,Central Midfield,Sassuolo,Serie A,Inter,Serie A,False,25.0
2540,41,Allan,29,€28.00m,20/21,"Brazil, Portugal",€24.60m,Defensive Midfield,Napoli,Serie A,Everton,Premier League,False,24.6
2541,42,Gianluca Mancini,24,€22.00m,20/21,Italy,€24.00m,Centre-Back,Atalanta,Serie A,Roma,Serie A,False,24.0
2542,43,Edouard Mendy,28,€7.00m,20/21,"Senegal, Guinea-Bissau",€24.00m,Goalkeeper,Stade Rennais,Ligue 1,Chelsea,Premier League,False,24.0
2543,44,Saïd Benrahma,25,€22.00m,20/21,"Algeria, France",€23.10m,Left Winger,Brentford,Championship,West Ham,Premier League,False,23.1
2544,45,Lucas Paquetá,23,€20.00m,20/21,"Brazil, Portugal",€23.00m,Attacking Midfield,AC Milan,Serie A,Lyon,Ligue 1,False,23.0
2545,46,Sébastien Haller,26,€30.00m,20/21,"Cote d'Ivoire, France",€22.50m,Centre-Forward,West Ham,Premier League,Ajax,Eredivisie,False,22.5
2546,47,Callum Wilson,28,€20.00m,20/21,England,€22.25m,Centre-Forward,Bournemouth,Championship,Newcastle,Premier League,False,22.25
2547,48,Thiago Alcántara,29,€48.00m,20/21,"Spain, Brazil",€22.00m,Central Midfield,Bayern Munich,Bundesliga,Liverpool,Premier League,False,22.0
2548,49,Abdoulaye Doucouré,27,€20.00m,20/21,"Mali, France",€22.00m,Attacking Midfield,Watford,Championship,Everton,Premier League,False,22.0
2549,50,Simone Verdi,28,€13.00m,20/21,Italy,€22.00m,Attacking Midfield,Napoli,Serie A,Torino,Serie A,False,22.0
2550,51,Roberto Inglese,28,€12.00m,20/21,Italy,€21.80m,Centre-Forward,Napoli,Serie A,Parma,Serie A,False,21.8
2551,52,Suso,26,€17.50m,20/21,Spain,€21.70m,Right Winger,AC Milan,Serie A,Sevilla FC,LaLiga,False,21.7
2552,53,Amad Diallo,18,€15.00m,20/21,"Cote d'Ivoire, Italy",€21.30m,Right Winger,Atalanta,Serie A,Man Utd,Premier League,False,21.3
2553,54,Sergiño Dest,19,€18.00m,20/21,"United States, Netherlands",€21.00m,Right-Back,Ajax,Eredivisie,Barcelona,LaLiga,False,21.0
2554,55,Andrea Pinamonti,21,€13.50m,20/21,Italy,€21.00m,Centre-Forward,Genoa,Serie A,Inter,Serie A,False,21.0
2555,56,Vedat Muriqi,26,€12.00m,20/21,"Kosovo, Albania",€21.00m,Centre-Forward,Fenerbahçe,Süper Lig,Lazio,Serie A,False,21.0
2556,57,Jean-Kévin Augustin,23,€9.50m,20/21,"France, Haiti",€21.00m,Centre-Forward,Leipzig,Bundesliga,Leeds,Premier League,False,21.0
2557,58,Timothy Castagne,24,€18.00m,20/21,Belgium,€20.90m,Right-Back,Atalanta,Serie A,Leicester,Premier League,False,20.9
2558,59,Aaron Ramsdale,22,€12.50m,20/21,England,€20.50m,Goalkeeper,Bournemouth,Championship,Sheff Utd,Premier League,False,20.5
2559,60,Wendel,23,€12.00m,20/21,Brazil,€20.30m,Central Midfield,Sporting,Liga NOS,Zenit S-Pb,Premier Liga,False,20.3
2560,61,Álvaro Morata,27,€36.00m,20/21,Spain,"Loan fee:
€20.00m",Centre-Forward,Atlético,LaLiga,Juventus,Serie A,True,20.0
2561,62,Everton,24,€28.00m,20/21,Brazil,€20.00m,Left Winger,Grêmio,Série A,Benfica,Liga NOS,False,20.0
2562,63,Diego Llorente,27,€20.00m,20/21,Spain,€20.00m,Centre-Back,Real Sociedad,LaLiga,Leeds,Premier League,False,20.0
2563,64,Alexander Sørloth,24,€20.00m,20/21,Norway,€20.00m,Centre-Forward,Crystal Palace,Premier League,Leipzig,Bundesliga,False,20.0
2564,65,Andrea Pinamonti,21,€13.50m,20/21,Italy,€19.50m,Centre-Forward,Inter,Serie A,Genoa,Serie A,False,19.5
2565,66,Raphinha,23,€16.00m,20/21,"Brazil, Italy",€18.60m,Left Winger,Stade Rennais,Ligue 1,Leeds,Premier League,False,18.6
2566,67,Bertrand Traoré,25,€9.50m,20/21,Burkina Faso,€18.40m,Right Winger,Lyon,Ligue 1,Aston Villa,Premier League,False,18.4
2567,68,Pedrinho,22,€13.50m,20/21,Brazil,€18.00m,Right Winger,Corinthians,Série A,Benfica,Liga NOS,False,18.0
2568,69,Eberechi Eze,22,€9.00m,20/21,"England, Nigeria",€17.80m,Attacking Midfield,QPR,Championship,Crystal Palace,Premier League,False,17.8
2569,70,Hélder Costa,26,€8.00m,20/21,"Angola, Portugal",€17.70m,Right Winger,Wolves,Premier League,Leeds,Premier League,False,17.7
2570,71,Jordan Veretout,27,€24.00m,20/21,France,€17.50m,Central Midfield,Fiorentina,Serie A,Roma,Serie A,False,17.5
2571,72,Emiliano Martínez,28,€8.00m,20/21,"Argentina, Spain",€17.40m,Goalkeeper,Arsenal,Premier League,Aston Villa,Premier League,False,17.4
2572,73,Gerard Deulofeu,26,€12.00m,20/21,Spain,€17.00m,Centre-Forward,Watford,Championship,Udinese,Serie A,False,17.0
2573,74,Matt Doherty,28,€16.00m,20/21,Ireland,€16.80m,Right-Back,Wolves,Premier League,Tottenham,Premier League,False,16.8
2574,75,Krépin Diatta,21,€18.00m,20/21,Senegal,€16.70m,Right Winger,Club Brugge,JPL,Monaco,Ligue 1,False,16.7
2575,76,Pierre-Emile Højbjerg,25,€20.00m,20/21,"Denmark, France",€16.60m,Defensive Midfield,Southampton,Premier League,Tottenham,Premier League,False,16.6
2576,77,Jamal Lewis,22,€11.00m,20/21,"Northern Ireland, England",€16.50m,Left-Back,Norwich,Championship,Newcastle,Premier League,False,16.5
2577,78,Karlan Grant,23,€8.00m,20/21,"England, Scotland",€16.50m,Centre-Forward,Huddersfield,Championship,West Brom,Premier League,False,16.5
2578,79,Pervis Estupiñán,22,€15.00m,20/21,"Ecuador, Spain",€16.40m,Left-Back,Watford,Championship,Villarreal,LaLiga,False,16.4
2579,80,Tomáš Souček,25,€12.00m,20/21,Czech Republic,€16.20m,Defensive Midfield,Slavia Praha,Fortuna Liga,West Ham,Premier League,False,16.2
2580,81,Geoffrey Kondogbia,27,€17.50m,20/21,"Central African Republic, France",€16.00m,Defensive Midfield,Valencia,LaLiga,Atlético,LaLiga,False,16.0
2581,82,Paulinho,28,€15.00m,20/21,Portugal,€16.00m,Centre-Forward,Braga,Liga NOS,Sporting,Liga NOS,False,16.0
2582,83,Gonzalo Martínez,27,€12.00m,20/21,"Argentina, Italy",€16.00m,Attacking Midfield,Atlanta,MLS,Al-Nassr,Saudi Pro League,False,16.0
2583,84,Morgan Sanson,26,€20.00m,20/21,France,€15.80m,Central Midfield,Marseille,Ligue 1,Aston Villa,Premier League,False,15.8
2584,85,Antony,20,€18.00m,20/21,Brazil,€15.75m,Right Winger,São Paulo,Série A,Ajax,Eredivisie,False,15.75
2585,86,Matty Cash,23,€4.80m,20/21,"Poland, England",€15.75m,Right-Back,Nott'm Forest,Championship,Aston Villa,Premier League,False,15.75
2586,87,Christian Kouamé,22,€17.50m,20/21,"Cote d'Ivoire, Italy",€15.50m,Centre-Forward,Genoa,Serie A,Fiorentina,Serie A,False,15.5
2587,88,Alex Telles,27,€40.00m,20/21,"Brazil, Italy",€15.00m,Left-Back,Porto,Liga NOS,Man Utd,Premier League,False,15.0
2588,89,Chris Smalling,30,€20.00m,20/21,"England, Jamaica",€15.00m,Centre-Back,Man Utd,Premier League,Roma,Serie A,False,15.0
2589,90,Aleksey Miranchuk,24,€18.00m,20/21,Russia,€15.00m,Attacking Midfield,Loko Moscow,Premier Liga,Atalanta,Serie A,False,15.0
2590,91,Luca Waldschmidt,24,€16.00m,20/21,Germany,€15.00m,Centre-Forward,Freiburg,Bundesliga,Benfica,Liga NOS,False,15.0
2591,92,Alfred Duncan,27,€15.00m,20/21,"Ghana, Italy",€15.00m,Central Midfield,Sassuolo,Serie A,Fiorentina,Serie A,False,15.0
2592,93,Nicolás Otamendi,32,€14.50m,20/21,Argentina,€15.00m,Centre-Back,Man City,Premier League,Benfica,Liga NOS,False,15.0
2593,94,Marko Rog,25,€13.00m,20/21,Croatia,€15.00m,Central Midfield,Napoli,Serie A,Cagliari,Serie A,False,15.0
2594,95,Jhon Córdoba,27,€12.00m,20/21,Colombia,€15.00m,Centre-Forward,1.FC Köln,Bundesliga,Hertha BSC,Bundesliga,False,15.0
2595,96,Rolando Mandragora,23,€12.00m,20/21,Italy,€15.00m,Defensive Midfield,Udinese,Serie A,Juventus,Serie A,False,15.0
2596,97,Serhou Guirassy,24,€8.00m,20/21,"Guinea, France",€15.00m,Centre-Forward,Amiens SC,Ligue 2,Stade Rennais,Ligue 1,False,15.0
2597,98,Mario Pašalić,25,€25.00m,20/21,Croatia,€14.50m,Central Midfield,Chelsea,Premier League,Atalanta,Serie A,False,14.5
2598,99,Pedro,23,€12.00m,20/21,Brazil,€14.00m,Centre-Forward,Fiorentina,Serie A,Flamengo,Série A,False,14.0
2599,100,Joakim Maehle,23,€11.00m,20/21,Denmark,€13.70m,Left-Back,Genk,JPL,Atalanta,Serie A,False,13.7
2600,101,Óscar Rodríguez,22,€15.00m,20/21,Spain,€13.50m,Attacking Midfield,Real Madrid,LaLiga,Sevilla FC,LaLiga,False,13.5
2601,102,Pedro Gonçalves,22,€7.00m,20/21,Portugal,€13.50m,Left Winger,Famalicão,Liga NOS,Sporting,Liga NOS,False,13.5
2602,103,Grady Diangana,22,€4.50m,20/21,"DR Congo, England",€13.50m,Right Winger,West Ham,Premier League,West Brom,Premier League,False,13.5
2603,104,Kyle Walker-Peters,23,€8.00m,20/21,"England, Jamaica",€13.30m,Right-Back,Tottenham,Premier League,Southampton,Premier League,False,13.3
2604,105,Robin Koch,24,€17.00m,20/21,Germany,€13.00m,Centre-Back,Freiburg,Bundesliga,Leeds,Premier League,False,13.0
2605,106,Giovanni Simeone,25,€15.00m,20/21,"Argentina, Spain",€13.00m,Centre-Forward,Fiorentina,Serie A,Cagliari,Serie A,False,13.0
2606,107,Axel Disasi,22,€13.50m,20/21,"France, DR Congo",€13.00m,Centre-Back,Stade Reims,Ligue 1,Monaco,Ligue 1,False,13.0
2607,108,Lucas Martínez Quarta,24,€10.00m,20/21,"Argentina, Italy",€13.00m,Centre-Back,River Plate,Copa de la Liga (- 23/24),Fiorentina,Serie A,False,13.0
2608,109,Carles Pérez,22,€9.00m,20/21,Spain,€13.00m,Right Winger,Barcelona,LaLiga,Roma,Serie A,False,13.0
2609,110,Konstantinos Tsimikas,24,€9.00m,20/21,Greece,€13.00m,Left-Back,Olympiacos,Super League 1,Liverpool,Premier League,False,13.0
2610,111,Brenden Aaronson,20,€10.00m,20/21,United States,€12.70m,Attacking Midfield,Philadelphia,MLS,Salzburg,Bundesliga,False,12.7
2611,112,Jean-Daniel Akpa Akpro,27,€600k,20/21,"Cote d'Ivoire, France",€12.70m,Central Midfield,Salernitana,Serie B,Lazio,Serie A,False,12.7
2612,113,Federico Chiesa,22,€48.00m,20/21,Italy,"Loan fee:
€12.60m",Right Winger,Fiorentina,Serie A,Juventus,Serie A,True,12.6
2613,114,Dennis Man,22,€6.50m,20/21,Romania,€12.60m,Right Winger,FCSB,Liga 1,Parma,Serie A,False,12.6
2614,115,Manolo Portanova,20,€1.00m,20/21,Italy,€12.25m,Attacking Midfield,Juventus,Serie A,Genoa,Serie A,False,12.25
2615,116,Joe Rodon,23,€7.00m,20/21,Wales,€12.10m,Centre-Back,Swansea,Championship,Tottenham,Premier League,False,12.1
2616,117,Evanilson,20,€7.50m,20/21,Brazil,€12.05m,Centre-Forward,Tombense,Série C,Porto,Liga NOS,False,12.05
2617,118,Ibrahima Diallo,21,€15.00m,20/21,"France, Senegal",€12.00m,Defensive Midfield,Stade Brestois,Ligue 1,Southampton,Premier League,False,12.0
2618,119,Dejan Lovren,31,€12.00m,20/21,Croatia,€12.00m,Centre-Back,Liverpool,Premier League,Zenit S-Pb,Premier Liga,False,12.0
2619,120,Oussama Idrissi,24,€12.00m,20/21,"Morocco, Netherlands",€12.00m,Left Winger,AZ Alkmaar,Eredivisie,Sevilla FC,LaLiga,False,12.0
2620,121,Mohammed Salisu,21,€12.00m,20/21,Ghana,€12.00m,Centre-Back,Real Valladolid,LaLiga,Southampton,Premier League,False,12.0
2621,122,Martin Terrier,23,€10.50m,20/21,France,€12.00m,Left Winger,Lyon,Ligue 1,Stade Rennais,Ligue 1,False,12.0
2622,123,Hee-chan Hwang,24,€10.00m,20/21,"Korea, South",€12.00m,Centre-Forward,Salzburg,Bundesliga,Leipzig,Bundesliga,False,12.0
2623,124,Brenner,21,€1.30m,20/21,Brazil,€11.82m,Centre-Forward,São Paulo,Série A,Cincinnati,MLS,False,11.82
2624,125,Marc Cucurella,21,€18.00m,20/21,Spain,€11.80m,Left-Back,Barcelona,LaLiga,Getafe,LaLiga,False,11.8
2625,126,Davy Klaassen,27,€12.00m,20/21,Netherlands,€11.70m,Central Midfield,Werder Bremen,Bundesliga,Ajax,Eredivisie,False,11.7
2626,127,Anthony Knockaert,28,€6.50m,20/21,"France, Belgium",€11.70m,Right Winger,Brighton,Premier League,Fulham,Premier League,False,11.7
2627,128,Karl Toko Ekambi,27,€14.00m,20/21,"Cameroon, France",€11.50m,Centre-Forward,Villarreal,LaLiga,Lyon,Ligue 1,False,11.5
